lnN lnDN
1.065384175686565094e+01 5.252273428046629888e+00
1.064932205537508025e+01 5.451038453565700159e+00
1.064378068915301689e+01 5.342334251964810932e+00
1.063878384660423215e+01 5.389071729816500955e+00
1.063352099276268170e+01 5.402677381872279305e+00
1.062815762466822989e+01 5.384495062789088848e+00
1.062286275171295458e+01 5.283203728737988492e+00
1.061805370046937291e+01 5.293304824724492263e+00
1.061317223173500324e+01 5.252273428046629888e+00
1.060846448484964988e+01 5.298317366548036311e+00
1.060351103703550635e+01 5.272999558563746803e+00
1.059865768554729826e+01 5.164785973923514462e+00
1.059428196751247597e+01 5.247024072160486163e+00
1.058950940815348396e+01 5.181783550292085039e+00
1.058501751375588285e+01 5.347107530717468471e+00
1.057969201236576140e+01 5.283203728737988492e+00
1.057467027071742294e+01 5.416100402204420128e+00
1.056890375935776305e+01 5.164785973923514462e+00
1.056439559195342248e+01 5.283203728737988492e+00
1.055929624744070594e+01 5.257495372027781499e+00
1.055430118007999418e+01 5.153291594497779293e+00
1.054977894681081096e+01 5.176149732573828821e+00
1.054513089022895755e+01 5.318119993844216076e+00
1.053974687088902584e+01 5.075173815233826602e+00
1.053550373309184174e+01 5.209486152841421358e+00
1.053062846868346725e+01 5.252273428046629888e+00
1.052551460059294719e+01 5.225746673713201673e+00
1.052050934270658189e+01 5.303304908059075728e+00
1.051507212095270738e+01 5.220355825078324408e+00
1.051004145051097716e+01 5.209486152841421358e+00
1.050504014193499636e+01 5.247024072160486163e+00
1.049982092340671436e+01 5.247024072160486163e+00
1.049457432165486992e+01 5.278114659230516814e+00
1.048913303785958107e+01 5.170483995038151370e+00
1.048422162851708528e+01 5.231108616854586835e+00
1.047897668962784046e+01 5.187385805840754927e+00
1.047393023187058780e+01 5.129898714923073477e+00
1.046914221258079714e+01 5.117993812416755439e+00
1.046438822893442477e+01 5.129898714923073477e+00
1.045955419254770646e+01 5.062595033026966895e+00
1.045501356342849419e+01 5.105945473900580289e+00
1.045024965610642376e+01 5.135798437050262066e+00
1.044531753516480954e+01 5.225746673713201673e+00
1.043989319990488873e+01 5.123963979403258762e+00
1.043496838122715253e+01 5.214935757608985867e+00
1.042954655694270727e+01 5.278114659230516814e+00
1.042373861694927406e+01 5.231108616854586835e+00
1.041816574561760866e+01 5.147494476813452735e+00
1.041301233056907094e+01 5.049856007249537093e+00
1.040831522449848201e+01 5.105945473900580289e+00
1.040332300500221585e+01 5.043425116919246776e+00
1.039861053257482837e+01 5.049856007249537093e+00
1.039384512766225477e+01 4.983606621708336348e+00
1.038936453093815437e+01 5.198497031265826074e+00
1.038378180126494144e+01 5.056245805348307698e+00
1.037891395195025268e+01 5.129898714923073477e+00
1.037364741957610370e+01 5.087596335232383638e+00
1.036857285662531680e+01 5.117993812416755439e+00
1.036331457533030331e+01 5.010635294096255521e+00
1.035856788118648808e+01 5.117993812416755439e+00
1.035325658620081768e+01 5.068904202220231525e+00
1.034817337379757340e+01 5.062595033026966895e+00
1.034309640521112961e+01 5.017279836814924288e+00
1.033822015832486052e+01 5.081404364984463129e+00
1.033299465512452997e+01 5.068904202220231525e+00
1.032780712615882379e+01 5.030437921392435285e+00
1.032278981743231405e+01 5.049856007249537093e+00
1.031764807901151570e+01 5.111987788356543660e+00
1.031214755154081075e+01 4.990432586778736024e+00
1.030725121400453403e+01 5.099866427824198745e+00
1.030176019006278842e+01 4.905274778438429628e+00
1.029721740442587219e+01 5.010635294096255521e+00
1.029214554232791201e+01 4.897839799950911122e+00
1.028759282152288357e+01 4.948759890378168436e+00
1.028277978634026901e+01 4.983606621708336348e+00
1.027777154316071773e+01 4.983606621708336348e+00
1.027273809117663994e+01 4.990432586778736024e+00
1.026764443682261607e+01 4.976733742420574202e+00
1.026259453666614263e+01 4.955827057601260854e+00
1.025762427792185605e+01 4.828313737302301512e+00
1.025322851187193152e+01 5.036952602413629521e+00
1.024778622540680573e+01 4.905274778438429628e+00
1.024299090496653264e+01 4.948759890378168436e+00
1.023795778648666754e+01 4.997212273764114698e+00
1.023264740443421772e+01 4.890349128221753716e+00
