lnN lnDN
1.111730177089292049e+01 5.762051382780176922e+00
1.111256729423020850e+01 5.880532986400700324e+00
1.110721032560685551e+01 5.894402834264850455e+00
1.110174907851669168e+01 5.739792912179233930e+00
1.109704631851319157e+01 5.808142489980443912e+00
1.109198624799876143e+01 5.780743515792329035e+00
1.108703823772042796e+01 5.707110264748875395e+00
1.108241943361857906e+01 5.831882477283516941e+00
1.107716093042611760e+01 5.777652323222656428e+00
1.107215437115457668e+01 5.783825182329737302e+00
1.106709138471167719e+01 5.783825182329737302e+00
1.106200263393728100e+01 5.780743515792329035e+00
1.105690363324491088e+01 5.730099782973574030e+00
1.105203220995244706e+01 5.720311776607411858e+00
1.104718473663748846e+01 5.802118375377062875e+00
1.104189731107830319e+01 5.730099782973574030e+00
1.103695205197144880e+01 5.666426688112432331e+00
1.103228951236729571e+01 5.799092654460525686e+00
1.102693878455115595e+01 5.556828061699537358e+00
1.102271912840697254e+01 5.693732138802699794e+00
1.101785835437080330e+01 5.616771097666571677e+00
1.101333647313022546e+01 5.710427017374869685e+00
1.100834695396470408e+01 5.669880922980519600e+00
1.100353214829586257e+01 5.686975356339820209e+00
1.099861042693996893e+01 5.673323267171492823e+00
1.099373159153372193e+01 5.686975356339820209e+00
1.098876127676505732e+01 5.613128106388070471e+00
1.098412254697357504e+01 5.659482215759621404e+00
1.097924054705815600e+01 5.669880922980519600e+00
1.097428318720746176e+01 5.583496308781699113e+00
1.096971438106008279e+01 5.796057750765371885e+00
1.096403446039744445e+01 5.631211781821365392e+00
1.095919234019296162e+01 5.690359454324060096e+00
1.095402941795915375e+01 5.723585101952380683e+00
1.094866390211491058e+01 5.605802066295997754e+00
1.094387026564005971e+01 5.673323267171492823e+00
1.093871620848179660e+01 5.652489180268650770e+00
1.093364254055932960e+01 5.645446897643237705e+00
1.092857887621527269e+01 5.645446897643237705e+00
1.092348944062232619e+01 5.703782474656200918e+00
1.091806584559422788e+01 5.556828061699537358e+00
1.091335969803181349e+01 5.641907070938113833e+00
1.090821031845529809e+01 5.624017506187338533e+00
1.090312629278484202e+01 5.613128106388070471e+00
1.089807177078018974e+01 5.493061443340548244e+00
1.089356763438077635e+01 5.598421958998375025e+00
1.088853912898107090e+01 5.634789603169249261e+00
1.088329753626936558e+01 5.598421958998375025e+00
1.087821698943870352e+01 5.529429087511423369e+00
1.087345174395605873e+01 5.533389488727520344e+00
1.086864463615355803e+01 5.556828061699537358e+00
1.086369947146821069e+01 5.575949103146315977e+00
1.085863354617895560e+01 5.521460917862246021e+00
1.085381249395318726e+01 5.497168225293202148e+00
1.084908462760225767e+01 5.616771097666571677e+00
1.084372915856607023e+01 5.505331535932362463e+00
1.083891402271875926e+01 5.468060141135131502e+00
1.083425301816459552e+01 5.552959584921617342e+00
1.082915419288876180e+01 5.541263545158425785e+00
1.082408897999736830e+01 5.480638923341991209e+00
1.081929816917340581e+01 5.572154032177764726e+00
1.081402174729790389e+01 5.529429087511423369e+00
1.080893975922928796e+01 5.552959584921617342e+00
1.080370987623121870e+01 5.455321115357701700e+00
1.079894272382214560e+01 5.459585514144158935e+00
1.079413221742669826e+01 5.488937726156686736e+00
1.078915411486647358e+01 5.398162701517752460e+00
1.078458624524127529e+01 5.379897353540459726e+00
1.078008065755173739e+01 5.517452896464707379e+00
1.077488551551954643e+01 5.472270673671475016e+00
1.076989452248074386e+01 5.521460917862246021e+00
1.076462491794225507e+01 5.424950017481402931e+00
1.075981594323759971e+01 5.356586274672012316e+00
1.075530376122480014e+01 5.549076084895220085e+00
1.074980636238115039e+01 5.375278407684165316e+00
1.074516249102949317e+01 5.537334267018536593e+00
1.073967390816861212e+01 5.389071729816500955e+00
1.073491732089608064e+01 5.236441962829949226e+00
1.073081591456209338e+01 5.407171771460118848e+00
1.072592903692446598e+01 5.476463551931511020e+00
1.072066488151292418e+01 5.323009979138408454e+00
1.071612741758079856e+01 5.272999558563746803e+00
1.071179210248352121e+01 5.493061443340548244e+00
1.070636319537058512e+01 5.384495062789088848e+00
1.070146760957682908e+01 5.468060141135131502e+00
1.069611801158102260e+01 5.455321115357701700e+00
1.069080790311332230e+01 5.342334251964810932e+00
